feature nr: 20779, importance: 0.00000
feature nr: 20905, importance: 0.00038
feature nr: 20961, importance: 0.00000
feature nr: 20981, importance: 0.00001
feature nr: 21096, importance: 0.00001
feature nr: 21219, importance: 0.00001
feature nr: 21285, importance: 0.00000
feature nr: 21308, importance: 0.00003
feature nr: 21413, importance: 0.00019
feature nr: 21588, importance: 0.00034
feature nr: 21648, importance: 0.00020
feature nr: 21676, importance: 0.00000
feature nr: 21691, importance: 0.00010
feature nr: 21728, importance: 0.00001
feature nr: 21772, importance: 0.00000
feature nr: 21782, importance: 0.00008
feature nr: 21822, importance: 0.00000
feature nr: 21925, importance: 0.00068
feature nr: 21980, importance: 0.00001
feature nr: 22098, importance: 0.00024
feature nr: 22176, importance: 0.00020
feature nr: 22591, importance: 0.00003
feature nr: 22592, importance: 0.00004
feature nr: 22811, importance: 0.00008
feature nr: 22851, importance: 0.00008
feature nr: 23027, importance: 0.00014
feature nr: 23032, importance: 0.00005
feature nr: 23077, importance: 0.00000
feature nr: 23187, importance: 0.00023
feature nr: 23198, importance: 0.00000
feature nr: 23207, importance: 0.00006
feature nr: 23241, importance: 0.00003
feature nr: 23391, importance: 0.00189
feature nr: 23393, importance: 0.00001
feature nr: 23472, importance: 0.00102
feature nr: 23773, importance: 0.00233
feature nr: 23842, importance: 0.00031
feature nr: 23856, importance: 0.00003
feature nr: 23908, importance: 0.00002
feature nr: 23928, importance: 0.00000
feature nr: 24172, importance: 0.00009
feature nr: 24190, importance: 0.00000
feature nr: 24295, importance: 0.00001
feature nr: 24464, importance: 0.00002
feature nr: 24520, importance: 0.00003
feature nr: 24582, importance: 0.00000
feature nr: 24608, importance: 0.00004
feature nr: 24655, importance: 0.00001
feature nr: 24751, importance: 0.00031
feature nr: 24816, importance: 0.00002
feature nr: 24851, importance: 0.00002
feature nr: 24953, importance: 0.00000
feature nr: 25057, importance: 0.00036
feature nr: 25063, importance: 0.00041
feature nr: 25089, importance: 0.00044
feature nr: 25112, importance: 0.00000
feature nr: 25113, importance: 0.00011
feature nr: 25120, importance: 0.00001
feature nr: 25188, importance: 0.00002
feature nr: 25189, importance: 0.00000
feature nr: 25243, importance: 0.00033
feature nr: 25280, importance: 0.00001
feature nr: 25333, importance: 0.00000
feature nr: 25468, importance: 0.00008
feature nr: 25606, importance: 0.00000
feature nr: 25690, importance: 0.00001
feature nr: 26064, importance: 0.00034
feature nr: 26161, importance: 0.00030
feature nr: 26221, importance: 0.00002
feature nr: 26273, importance: 0.00040
feature nr: 26297, importance: 0.00008
feature nr: 26518, importance: 0.00001
feature nr: 26764, importance: 0.00001
feature nr: 26787, importance: 0.00011
feature nr: 26967, importance: 0.00001
feature nr: 27018, importance: 0.00000
feature nr: 27065, importance: 0.00006
feature nr: 27088, importance: 0.00001
feature nr: 27163, importance: 0.00014
feature nr: 27207, importance: 0.00000
feature nr: 27211, importance: 0.00001
feature nr: 27328, importance: 0.00037
feature nr: 27522, importance: 0.00000
feature nr: 27554, importance: 0.00027
feature nr: 27622, importance: 0.00013
feature nr: 27697, importance: 0.00001
feature nr: 27699, importance: 0.00002
feature nr: 27876, importance: 0.00000
feature nr: 27899, importance: 0.00000
feature nr: 28009, importance: 0.00002
feature nr: 28092, importance: 0.00039
feature nr: 28100, importance: 0.00003
feature nr: 28108, importance: 0.00001
feature nr: 28128, importance: 0.00001
feature nr: 28135, importance: 0.00000
feature nr: 28144, importance: 0.00003
feature nr: 28145, importance: 0.00005
feature nr: 28167, importance: 0.00000
feature nr: 28170, importance: 0.00002
feature nr: 28193, importance: 0.00000
feature nr: 28290, importance: 0.00101
feature nr: 28320, importance: 0.00002
feature nr: 28326, importance: 0.00050
feature nr: 28333, importance: 0.00000
feature nr: 28442, importance: 0.00001
feature nr: 28534, importance: 0.00003
feature nr: 28536, importance: 0.00013
feature nr: 28544, importance: 0.00010
feature nr: 28800, importance: 0.00003
feature nr: 28835, importance: 0.00002
feature nr: 28897, importance: 0.00039
feature nr: 28931, importance: 0.00000
feature nr: 28947, importance: 0.00008
feature nr: 29004, importance: 0.00000
feature nr: 29141, importance: 0.00005
feature nr: 29215, importance: 0.00000
feature nr: 29314, importance: 0.00002
feature nr: 29476, importance: 0.00000
feature nr: 29508, importance: 0.00003
feature nr: 29608, importance: 0.00017
feature nr: 29858, importance: 0.00000
feature nr: 29868, importance: 0.00006
feature nr: 29942, importance: 0.00000
feature nr: 30021, importance: 0.00038
feature nr: 30025, importance: 0.00001
feature nr: 30042, importance: 0.00000
feature nr: 30339, importance: 0.00004
feature nr: 30385, importance: 0.00018
feature nr: 30464, importance: 0.00001
feature nr: 30472, importance: 0.00018
feature nr: 30528, importance: 0.00003
feature nr: 30533, importance: 0.00001
feature nr: 30582, importance: 0.00010
feature nr: 30587, importance: 0.00004
feature nr: 30601, importance: 0.00002
feature nr: 30626, importance: 0.00001
feature nr: 30928, importance: 0.00002
feature nr: 31128, importance: 0.00003
feature nr: 31136, importance: 0.00020
feature nr: 31200, importance: 0.00014
feature nr: 31283, importance: 0.00001
feature nr: 31297, importance: 0.00001
feature nr: 31326, importance: 0.00001
feature nr: 31574, importance: 0.00256
feature nr: 31587, importance: 0.00000
feature nr: 31605, importance: 0.00021
feature nr: 31671, importance: 0.00005
feature nr: 31747, importance: 0.00000
feature nr: 31770, importance: 0.00000
feature nr: 31891, importance: 0.00007
feature nr: 31962, importance: 0.00177
feature nr: 31997, importance: 0.00002
feature nr: 32225, importance: 0.00000
feature nr: 32409, importance: 0.00001
feature nr: 32436, importance: 0.00002
feature nr: 32645, importance: 0.00000
feature nr: 32662, importance: 0.00001
feature nr: 32752, importance: 0.00000
feature nr: 32796, importance: 0.00001
feature nr: 32811, importance: 0.00011
feature nr: 32891, importance: 0.00006
feature nr: 32928, importance: 0.00013
feature nr: 32954, importance: 0.00000
feature nr: 32957, importance: 0.00017
feature nr: 32967, importance: 0.00001
feature nr: 33160, importance: 0.00021
feature nr: 33269, importance: 0.00001
feature nr: 33303, importance: 0.00002
feature nr: 33304, importance: 0.00025
feature nr: 33472, importance: 0.00001
feature nr: 33481, importance: 0.00007
feature nr: 33576, importance: 0.00024
feature nr: 33580, importance: 0.00057
feature nr: 33603, importance: 0.00009
feature nr: 33613, importance: 0.00003
feature nr: 33809, importance: 0.00001
feature nr: 33840, importance: 0.00002
feature nr: 33909, importance: 0.00000
feature nr: 33937, importance: 0.00007
feature nr: 33969, importance: 0.00005
feature nr: 34020, importance: 0.00004
feature nr: 34031, importance: 0.00000
feature nr: 34117, importance: 0.00001
feature nr: 34158, importance: 0.00018
feature nr: 34318, importance: 0.00018
feature nr: 34464, importance: 0.00005
feature nr: 34482, importance: 0.00000
feature nr: 34484, importance: 0.00001
feature nr: 34684, importance: 0.00011
feature nr: 34692, importance: 0.00001
feature nr: 34872, importance: 0.00001
feature nr: 35013, importance: 0.00000
feature nr: 35027, importance: 0.00008
feature nr: 35132, importance: 0.00001
feature nr: 35407, importance: 0.00002
feature nr: 35538, importance: 0.00039
feature nr: 35578, importance: 0.00002
feature nr: 35664, importance: 0.00009
feature nr: 35721, importance: 0.00000
feature nr: 35753, importance: 0.00017
feature nr: 35773, importance: 0.00000
feature nr: 35971, importance: 0.00016
feature nr: 36009, importance: 0.00006
feature nr: 36103, importance: 0.00000
feature nr: 36148, importance: 0.00005
feature nr: 36227, importance: 0.00056
feature nr: 36382, importance: 0.00002
feature nr: 36450, importance: 0.00020
feature nr: 36584, importance: 0.00009
feature nr: 36586, importance: 0.00035
feature nr: 36629, importance: 0.00013
feature nr: 36651, importance: 0.00063
feature nr: 36735, importance: 0.00001
feature nr: 36798, importance: 0.00046
feature nr: 36826, importance: 0.00071
feature nr: 36874, importance: 0.00015
feature nr: 36880, importance: 0.00014
feature nr: 36898, importance: 0.00001
feature nr: 37015, importance: 0.00003
feature nr: 37424, importance: 0.00001
feature nr: 37530, importance: 0.00013
feature nr: 37743, importance: 0.00015
feature nr: 37829, importance: 0.00727
feature nr: 37865, importance: 0.00008
feature nr: 37908, importance: 0.00000
feature nr: 38028, importance: 0.00017
feature nr: 38029, importance: 0.00001
feature nr: 38081, importance: 0.00000
feature nr: 38137, importance: 0.00141
feature nr: 38288, importance: 0.00000
feature nr: 38331, importance: 0.00001
feature nr: 38463, importance: 0.00001
feature nr: 38470, importance: 0.00005
feature nr: 38532, importance: 0.00003
feature nr: 38947, importance: 0.00014
feature nr: 39030, importance: 0.00008
feature nr: 39298, importance: 0.00002
feature nr: 39332, importance: 0.00002
feature nr: 39620, importance: 0.00001
feature nr: 39672, importance: 0.00725
feature nr: 39934, importance: 0.00000
feature nr: 40017, importance: 0.00039
feature nr: 40133, importance: 0.00007
feature nr: 40283, importance: 0.00000
feature nr: 40386, importance: 0.00007
feature nr: 40397, importance: 0.00001
feature nr: 40513, importance: 0.00001
feature nr: 40540, importance: 0.00001
feature nr: 40670, importance: 0.00000
feature nr: 40740, importance: 0.00000
feature nr: 40799, importance: 0.00006
feature nr: 40816, importance: 0.00001
feature nr: 40852, importance: 0.00001
feature nr: 40983, importance: 0.00001
