feature,importances,count
169899,[2e-05],1
169163,[0.00013],1
1,[0.00022],1
145537,[0.0],1
143139,[0.00183],1
143166,[0.0],1
143185,[0.0],1
143211,[0.0],1
143351,[0.0003],1
143420,[0.0],1
143446,[2e-05],1
143517,[3e-05],1
143689,[0.00014],1
143766,[0.00016],1
143816,[7e-05],1
143994,[0.0],1
144226,[1e-05],1
144291,[9e-05],1
144428,[6e-05],1
144580,[0.0],1
144926,[0.0],1
144967,[4e-05],1
145073,[1e-05],1
145126,[0.00026],1
145128,[0.0],1
145269,[0.0002],1
145510,[0.0],1
143092,[0.00011],1
142980,[0.00272],1
142955,[7e-05],1
142110,[3e-05],1
140690,[2e-05],1
140873,[1e-05],1
140952,[4e-05],1
141285,[1e-05],1
141465,[0.00026],1
141500,[0.00029],1
141542,[0.0006],1
141599,[0.00025],1
141645,[3e-05],1
141825,[0.00014],1
142276,[4e-05],1
142946,[0.0],1
142305,[0.00023],1
142383,[0.00015],1
142398,[2e-05],1
142518,[0.0],1
142639,[1e-05],1
142647,[0.0],1
142782,[0.00252],1
142793,[1e-05],1
142833,[2e-05],1
142925,[1e-05],1
145517,[5e-05],1
145604,[3e-05],1
140634,[1e-05],1
145702,[0.00017],1
148662,[0.0],1
148675,[0.00106],1
148715,[8e-05],1
148859,[0.00022],1
148876,[9e-05],1
148924,[1e-05],1
148932,[0.00014],1
148971,[3e-05],1
149045,[0.00013],1
149112,[3e-05],1
149123,[2e-05],1
149221,[0.00021],1
149454,[0.00048],1
149494,[0.0002],1
149551,[0.0001],1
149633,[0.0],1
149729,[4e-05],1
149730,[0.00028],1
149960,[4e-05],1
150056,[1e-05],1
150109,[0.00018],1
150180,[1e-05],1
150298,[3e-05],1
148652,[0.00014],1
148537,[0.0],1
148401,[8e-05],1
146907,[5e-05],1
145720,[0.0001],1
145761,[1e-05],1
145803,[2e-05],1
145885,[8e-05],1
146025,[0.0],1
146136,[0.0],1
146229,[0.0],1
146391,[0.0],1
146531,[1e-05],1
146655,[2e-05],1
146923,[0.00071],1
148249,[0.00023],1
146984,[1e-05],1
147126,[0.00019],1
147200,[0.00026],1
147266,[3e-05],1
147299,[0.00011],1
147361,[0.0],1
147801,[0.00016],1
148019,[1e-05],1
148169,[1e-05],1
148248,[0.0],1
140664,[1e-05],1
140618,[9e-05],1
150370,[2e-05],1
137023,[1e-05],1
134010,[9e-05],1
134076,[0.00385],1
134133,[3e-05],1
134199,[0.0],1
134376,[4e-05],1
134548,[0.0],1
134619,[2e-05],1
134633,[3e-05],1
134652,[0.0],1
134996,[0.0],1
135164,[1e-05],1
135231,[0.00045],1
135379,[0.00022],1
135728,[1e-05],1
136008,[7e-05],1
136046,[5e-05],1
136124,[8e-05],1
136148,[0.0001],1
136165,[0.0],1
136169,[1e-05],1
136559,[4e-05],1
136714,[0.0],1
136945,[1e-05],1
134001,[1e-05],1
133875,[0.00072],1
133769,[0.0],1
133090,[0.0],1
131731,[1e-05],1
131929,[0.00068],1
132173,[1e-05],1
132254,[0.00153],1
132301,[1e-05],1
132495,[0.00019],1
132649,[0.0],1
133033,[3e-05],1
133060,[0.00292],1
133078,[0.0],1
133105,[0.0],1
133738,[6e-05],1
133235,[0.00103],1
133251,[0.0],1
133376,[3e-05],1
133384,[0.0002],1
133448,[0.00024],1
133496,[0.0],1
133516,[5e-05],1
133562,[0.00044],1
133586,[3e-05],1
133602,[4e-05],1
136963,[0.0],1
137036,[5e-05],1
140605,[0.00109],1
137057,[0.00017],1
139329,[5e-05],1
139397,[2e-05],1
139407,[1e-05],1
139410,[0.0],1
139427,[0.0],1
139481,[2e-05],1
139511,[4e-05],1
139526,[0.00012],1
139701,[0.00019],1
139741,[0.00024],1
139755,[0.0],1
139788,[0.0],1
139959,[0.0],1
139962,[1e-05],1
139985,[3e-05],1
140008,[0.0],1
140201,[0.00013],1
140225,[0.0],1
140240,[2e-05],1
140275,[1e-05],1
140416,[1e-05],1
140461,[1e-05],1
140550,[0.00157],1
139174,[0.0001],1
139081,[4e-05],1
138976,[1e-05],1
137741,[0.0],1
137088,[1e-05],1
137152,[0.0],1
137155,[0.0],1
137330,[0.0],1
137381,[0.00091],1
137424,[0.00471],1
137482,[1e-05],1
137569,[0.00029],1
137597,[2e-05],1
137639,[0.0],1
137797,[0.0],1
138890,[2e-05],1
137810,[0.0],1
137987,[0.0],1
137997,[0.00061],1
138017,[0.0],1
138163,[6e-05],1
138186,[1e-05],1
138372,[2e-05],1
138519,[0.0],1
138559,[0.00069],1
138792,[0.0],1
150302,[3e-05],1
150537,[6e-05],1
169162,[0.00017],1
164161,[6e-05],1
162457,[0.00016],1
162509,[4e-05],1
162602,[1e-05],1
162656,[6e-05],1
162722,[0.0],1
162886,[1e-05],1
162914,[0.00033],1
163126,[1e-05],1
163129,[1e-05],1
163132,[0.0],1
163286,[0.0],1
163290,[0.0003],1
163314,[2e-05],1
163351,[1e-05],1
163458,[0.00405],1
163574,[0.00011],1
163621,[0.0],1
163708,[1e-05],1
163765,[9e-05],1
163788,[2e-05],1
163970,[1e-05],1
163990,[0.0],1
164101,[3e-05],1
162435,[1e-05],1
162324,[0.00036],1
162138,[0.00122],1
161575,[3e-05],1
