"num_sig_genes"
"LUAD_Genes and covars27" 6
"LUAD_Genes and covars28" 8
"LUAD_Genes and covars29" 12
"LUSC_Genes and covars" 13
"LUSC_Genes and covars1" 10
"LUSC_Genes and covars2" 15
"LUSC_Genes and covars3" 15
"LUSC_Genes and covars4" 8
"LUSC_Genes and covars5" 13
"LUSC_Genes and covars6" 18
"LUSC_Genes and covars7" 14
"LUSC_Genes and covars8" 12
"LUSC_Genes and covars9" 12
"LUSC_Genes and covars10" 10
"LUSC_Genes and covars11" 15
"LUSC_Genes and covars12" 12
"LUSC_Genes and covars13" 11
"LUSC_Genes and covars14" 13
"LUSC_Genes and covars15" 13
"LUSC_Genes and covars16" 17
"LUSC_Genes and covars17" 19
"LUSC_Genes and covars18" 10
"LUSC_Genes and covars19" 14
"LUSC_Genes and covars20" 22
"LUSC_Genes and covars21" 13
"LUSC_Genes and covars22" 12
"LUSC_Genes and covars23" 15
"LUSC_Genes and covars24" 14
"LUSC_Genes and covars25" 16
"LUSC_Genes and covars26" 16
"LUSC_Genes and covars27" 19
"LUSC_Genes and covars28" 8
"LUSC_Genes and covars29" 13
"UCEC_Genes and covars" 15
"UCEC_Genes and covars1" 13
"UCEC_Genes and covars2" 13
"UCEC_Genes and covars3" 13
"UCEC_Genes and covars4" 8
"UCEC_Genes and covars5" 11
"UCEC_Genes and covars6" 8
"UCEC_Genes and covars7" 10
"UCEC_Genes and covars8" 15
"UCEC_Genes and covars9" 6
"UCEC_Genes and covars10" 10
"UCEC_Genes and covars11" 13
"UCEC_Genes and covars12" 8
"UCEC_Genes and covars13" 9
"UCEC_Genes and covars14" 6
"UCEC_Genes and covars15" 7
"UCEC_Genes and covars16" 10
"UCEC_Genes and covars17" 15
"UCEC_Genes and covars18" 13
"UCEC_Genes and covars19" 13
"UCEC_Genes and covars20" 11
"UCEC_Genes and covars21" 12
"UCEC_Genes and covars22" 12
"UCEC_Genes and covars23" 13
"UCEC_Genes and covars24" 12
"UCEC_Genes and covars25" 10
"UCEC_Genes and covars26" 11
"UCEC_Genes and covars27" 9
"UCEC_Genes and covars28" 10
"UCEC_Genes and covars29" 11
