,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
54,TARID,0,1,0.17140006047410233,0.1770521624536471,0.08455849561481718,0.15703071148788925,0.16688583496366824,0.0786102841614372,0.20098523959830145,0.10788698976350977,0.0627976669830125,0.260303370532212,0.19277152524157992,0.1869900303066661,0.05507786308045844,0.1068736728168099,0.02718393280991635,0.01342367728296362,0.03116861022493712,0.0094529942818328,0.0026585815965985415,0.017544656627536428,0.029536165029800804,0.023308576157048504,0.010204210517465673,0.00940553529329366,0.0037147309662303313,0.01883381226568158,0.014943872575561894,0.017682810490481156,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,UPK1A-AS1,0,1,0.08074556764333601,0.2032981054407124,0.060454549540487075,0.07705972366646847,0.061714961339442466,0.06866488406946873,0.07190559310960251,0.06627676397136832,0.06638843495896027,0.09628980535252812,0.06969965077925425,0.2107620532303738,0.07820880623812686,0.06102179232414975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ZEB1-AS1,37,0,0.2169849000665044,0.11636169901567545,0.10881256575201344,0.2034822747522732,0.15422372278361893,0.1643331472477761,0.13876372170679888,0.0781833574809481,0.11583591474347076,0.2410832960215716,0.15830570946480113,0.14376237538095235,0.1367040384030025,0.10505365791332573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,15,15,5,2,12,7,0,1,5,1,0,5,0,0,0,0,0,0
57,MAGI2-AS3,4,10,0.5350486904365916,0.6137623183242993,0.6442522760901153,0.6384430851004547,0.6046733903736592,0.6317690103000846,0.5312667538110911,0.4888122231593649,0.5435406894161572,,0.6034510362550848,0.449754550269479,0.6857906853164384,0.6858279160103199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2857142857142857,4,3,4,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
58,OIP5-AS1,24,3,0.04669127495134627,0.04222574659396193,0.041784690575707086,0.04541593363197536,0.04235975717276212,0.04667739232244038,0.04378961127504635,0.04407446383780498,0.04288789237209782,0.07466218099800409,0.041624276344720434,0.04057291941402373,0.04309460126685249,0.04183574457500745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,14,7,7,5,0,3,9,1,1,1,0,0,4,0,0,0,0,0,0
59,RPSAP52,2,0,0.9098442645749332,0.6688446782891015,0.6490350952784293,0.8875821233104116,0.8500097008576935,0.9019822648595496,0.9008302549933164,0.9149192506632208,0.5270090222540774,0.6666034135900818,0.8800662850535299,0.6904713720878815,0.930869283511348,0.8897402472546271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,KRT7,1,0,0.29465895428216726,0.2049582228955828,0.26461261392786334,0.4741225573658483,0.28103855461569605,0.3776557848310838,0.23041488172429325,0.1438772196160577,0.2623997456484013,0.27245534677462024,0.3884589202134849,0.5980991368664961,0.21104676587443874,0.24620752995302375,0.18804305953433004,0.11655771601937841,0.14561502989834543,0.1308363131986849,0.04394220803299982,0.05851698566122909,0.072283701448075,0.05966004402272919,0.15231451158674153,0.15603814905920366,0.051907620360804985,0.05816703743586665,0.17061177481157455,0.08897707210423271,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,PDCD4-AS1,0,1,0.7719004941932146,0.8225320301801501,0.4262853432168119,0.8884063449217539,0.8214129317300953,0.7918938865418699,0.8349912643783892,0.906684727632074,0.8544782204432795,0.7864587335869013,0.800141198952873,0.875556404881603,0.8518490541090088,0.7642548755795816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,PTCSC2,0,2,0.18561518689157366,0.5383988618935691,0.5141977088794386,0.6934981930120233,0.3860061683873918,0.1844811082466411,0.2255709928010201,0.2338697391848384,0.4216294147756184,0.4002369618827605,0.19283427378022666,0.5485373881135714,0.07176072624045979,0.5664573043920856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,GATA3-AS1,1,0,0.02541225157795083,0.02009238011134988,0.021178702849457637,0.07713586062231925,0.042484091293802595,0.04006953503786859,0.031080645247188475,0.02786217605156706,0.04997962706531256,0.11790866856790022,0.037739551600199546,0.022974577339143803,0.020534168741458855,0.021573905140524024,0.005612412096867346,0.002797559858217181,0.003155933082706175,0.003733243097340938,0.0007746694887309398,0.0005004525196233324,0.0023528104037804642,0.007684829439490554,0.009334071926646318,0.011174836050829695,0.00014256359445428968,0.0034143663473874993,0.002415387923267103,0.0035946534662605195,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
