,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
86,fer1l4,3.0,20.0,0.049339455812427255,0.6058882668333729,0.09017905819442827,0.23283411356426875,0.18237157992832026,0.05156358691921895,0.06385736663477108,0.07334649792644499,0.0861996227927739,0.13231142707937046,0.0472388219847722,0.07895130588746149,0.04186562266817349,0.05973065528772638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,14.0,8.0,6.0,1.0,0.0,7.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
87,ccnd2-as1,2.0,0.0,0.3340153232527037,0.3926350900887181,0.4842867879341259,0.3051205000439603,0.3686218929545303,0.33451876486494586,0.3637525278332504,0.3000703849772385,0.4084256170984759,0.421282000100964,0.32986769668275,0.5112209915513461,0.2987755908708646,0.4071561458556854,0.3344317075770653,0.2007050824005147,0.1862664386417209,0.3556067621935876,0.2756684963471185,0.3240511838576709,0.2821005558294136,0.3603602667860402,0.1537494016964121,0.22517740226962435,0.3108892428011699,0.20865775328008965,0.3626406259356472,0.2440711089332391,1.0,6.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,sox9-as1,1.0,0.0,0.22228843311705887,0.3198609507984649,0.2931969515947728,0.3848009304773885,0.3376761290497868,0.3331949913809413,0.2829210365008865,0.3766429492109299,0.27588795394168475,0.3305629433872615,0.3345776752623633,0.4562287125338456,0.3859972244095991,0.3981120289644724,0.13334040503716066,0.241045403159264,0.2046341522115997,0.3166529397336466,0.2732117879082485,0.2392562889953304,0.2134687106467346,0.31410596957665965,0.21555507859047066,0.2207691839666648,0.24999795116651055,0.2871046229427455,0.3029791478592297,0.33464827129282765,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,casc11,15.0,0.0,0.02724086808427951,0.02557435970014001,0.026352287353192432,0.025195200199383143,0.024092643426271824,0.024418915673258608,0.02632796057934793,0.026774029288218117,0.02464902575830644,0.03293567607844579,0.024424089605625667,0.02631873124808744,0.025904842531626424,0.026239820207263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,13.0,11.0,4.0,0.0,5.0,8.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
90,gata2-as1,0.0,1.0,0.24030485805462515,0.4466392428004757,0.30125731780753856,0.4829257787879612,0.3374719863887765,0.3674543224249408,0.3033921977947862,0.2064766612708417,0.2645232854274742,0.3625608988281525,0.3579582159222379,0.11273216703441875,0.2680446524909291,0.10056457610538316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,neat1,152.0,15.0,0.8863230349061816,0.8582084720397862,0.904326548826918,0.9277452910288736,0.8880859234250902,0.9101281954376376,0.8415477589896727,0.7540394481699707,0.6559737223280424,0.8027826424472128,0.8669783772648312,0.8334017648472206,0.9280854442358608,0.9288670470437737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9101796407185628,151.0,141.0,101.0,95.0,11.0,86.0,101.0,12.0,30.0,20.0,36.0,6.0,104.0,12.0,0.0,2.0,2.0,0.0,7.0
92,smim10l2a,0.0,1.0,0.11117706430722636,0.06597819969743962,0.5746535560716444,0.19753145888982895,0.07174732782097128,0.05581763791835667,0.056850113396953436,0.041082391455855835,0.2728769462182991,0.0,0.04292816439274502,0.1177157881256198,0.2548847332104642,0.4582975953870784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,myc,0.0,1.0,0.02724086808427951,0.02557435970014001,0.026352287353192432,0.025195200199383143,0.024092643426271824,0.024418915673258608,0.02632796057934793,0.026774029288218117,0.02464902575830644,0.03293567607844579,0.024424089605625667,0.02631873124808744,0.025904842531626424,0.026239820207263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,cant1,0.0,2.0,0.8815884966534456,0.8890686946248714,0.8848033233138977,0.7449325105381005,0.8415691711321653,0.890025716765808,0.9049125676243268,0.8928069994951578,0.8925068244855167,0.8418718472200333,0.8906498232512696,0.4489316147974707,0.8962453281991192,0.8915245719525354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,ncor2,0.0,1.0,0.7704283063377269,0.7724929702916221,0.824794656721223,0.7946266014272836,0.7592488510373958,0.7553041116645964,0.6416395325457863,0.7413317011677135,0.7339648165815607,0.7307429302020754,0.7595819028550114,0.8228542313576996,0.7534627157174655,0.8287045192741218,0.16460343967020535,0.16676345332715675,0.1256262213767701,0.145204181423335,0.16395512786234348,0.18482185846606566,0.21712716735096796,0.2077442081303064,0.2175838739985163,0.13306787926778904,0.1648908410379649,0.08966110512332275,0.22421083256675195,0.09994572952111284,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
